CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,RecordSource,LoadDate,CustomerHashKey,CustomerHashDiff
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,NULL,12209,Germany,030-0074321,030-0076545,Northwind_Sqldb,2024-09-25,0x43D4687937E5358375407054D28D26F8,0xFC8AA5D5D27DB89AA926D2D51BAF87C4
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,NULL,05021,Mexico,(5) 555-4729,(5) 555-3745,Northwind_Sqldb,2024-09-25,0x584D0B683C457577492DB6E42FD1ABCE,0x125B7E654ACA8A291B855C5B6215999D
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,NULL,05023,Mexico,(5) 555-3932,NULL,Northwind_Sqldb,2024-09-25,0x503B6F267A3DFEBF1A574177C15BB737,0xB7C73411B6CC655DAAFC3AE7A90E0C7E
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,NULL,WA1 1DP,UK,(171) 555-7788,(171) 555-6750,Northwind_Sqldb,2024-09-25,0x0AC13DFE662A56D011ECC6A5394DBAA7,0xD57588F2171F100E65510A97B8966FCE
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,NULL,S-958 22,Sweden,0921-12 34 65,0921-12 34 67,Northwind_Sqldb,2024-09-25,0xEC7A3EA42658C94BD736491A46516EC9,0xF1D26455F388B97344B52F7B65C02387
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,NULL,68306,Germany,0621-08460,0621-08924,Northwind_Sqldb,2024-09-25,0x975593406A032B0E73CB9206144DF366,0xBBAD5CBFCC32CB48D265C5EE76898DA9
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,NULL,67000,France,88.60.15.31,88.60.15.32,Northwind_Sqldb,2024-09-25,0xB041B6BAC436A17A8366842BAD5EC323,0x04180CB1CCD439E7D776671B33285DC7
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,"C/ Araquil, 67",Madrid,NULL,28023,Spain,(91) 555 22 82,(91) 555 91 99,Northwind_Sqldb,2024-09-25,0xFD4259E7EB9196E34249564462AB06B6,0x408E1656A2D118FDC78327E6E1AFD70A
BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,NULL,13008,France,91.24.45.40,91.24.45.41,Northwind_Sqldb,2024-09-25,0x1A191A8C881B7F754DAD90D732D16537,0xCCFC7F31F3A68393B38F3E27E509D7D0
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745,Northwind_Sqldb,2024-09-25,0x0E982E9D7F6122F1BE2B3B2AC3C03BB2,0x8C5A675A048C604ADD86BE59CB923BB6
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,NULL,EC2 5NT,UK,(171) 555-1212,NULL,Northwind_Sqldb,2024-09-25,0xF32ABE2B5A83DE6CB474142AFF3F0BB4,0x3C34A28D045D3673ACAC53DBAD60E5E7
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,NULL,1010,Argentina,(1) 135-5555,(1) 135-4892,Northwind_Sqldb,2024-09-25,0x774EEE0D3A0C99CC6F757ECDBFBB552E,0x98D167CB756CF28E99F9D26DAA431EA8
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,NULL,05022,Mexico,(5) 555-3392,(5) 555-7293,Northwind_Sqldb,2024-09-25,0x688EE87063550FA51B5E38BF9BE62D06,0x89CCD7EEBFE5018C980656D3AE72CEE6
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,NULL,3012,Switzerland,0452-076545,NULL,Northwind_Sqldb,2024-09-25,0xB4FB9D3CA547758E3668703084D995CD,0xBA371D5B25A33103C818AE980FC6F222
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,NULL,Northwind_Sqldb,2024-09-25,0x7F5816460D413B083D96AB77DE3840B3,0x2DEE5F76EBEA9E29776CCC76252F8CE8
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,NULL,WX1 6LT,UK,(171) 555-2282,(171) 555-9199,Northwind_Sqldb,2024-09-25,0x4BFD299F19DE491370E7A60A264793E7,0x475F41AE59F5CECC648A4270F94EE2EB
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,NULL,52066,Germany,0241-039123,0241-059428,Northwind_Sqldb,2024-09-25,0x34BCA7753967BF315119431751B97C32,0x40D4A754629D15E73DA2DEFF8D1F6082
DUMON,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,NULL,44000,France,40.67.88.88,40.67.89.89,Northwind_Sqldb,2024-09-25,0x50B54CBB0D775CCC413F61F11358B1C4,0xA0DD294047D394CBA4D5FE76656BDE00
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,NULL,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,Northwind_Sqldb,2024-09-25,0x32BCE2A7BF12374C25203C01B1DAF20C,0x63417E05FF55FEB598F841C5AF0CCE34
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,NULL,8010,Austria,7675-3425,7675-3426,Northwind_Sqldb,2024-09-25,0x64434A4B42EA403D8EB946D528001395,0x7ACA90B5AAC0E78B13DFB17C9FDADC6C
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,NULL,Northwind_Sqldb,2024-09-25,0xAAA0BCB4023385D0BE4F10155A8F1E72,0x7BFE85CE02DA2A04566D8E11F3BBAEF0
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain,(91) 555 94 44,(91) 555 55 93,Northwind_Sqldb,2024-09-25,0xA557676A8D405F54E7EA7854345CA886,0x94B8FC0A3CFF4E0CC3E72DA8338B037A
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,NULL,59000,France,20.16.10.16,20.16.10.17,Northwind_Sqldb,2024-09-25,0x352045E07BDDD6098C6431335176EBDB,0x81ECB5AC622BE048953B2D7D60A6B01D
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden,0695-34 67 21,NULL,Northwind_Sqldb,2024-09-25,0xC1437E6BACD0F10597B2551E99F2078A,0x9A0F8F20385A6A42ED8496F630137FC2
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,NULL,80805,Germany,089-0877310,089-0877451,Northwind_Sqldb,2024-09-25,0x949FA1B57414CC445CBD1DEF7579ACC9,0x39EA91827D7462398EEFA59F990A62D0
FRANR,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,NULL,44000,France,40.32.21.21,40.32.21.20,Northwind_Sqldb,2024-09-25,0xB9C59D0AEFA712A75F0B7779325D4F80,0x51FEBD4D4FA7F8EA5D9739E22ED20296
